"","species","n.occurrences"
"451","Eugenia hiemalis Cambess.",3
"452","Eugenia involucrata DC.",13
"453","Eugenia lambertiana DC.",8
"454","Eugenia leitonii",1
"455","Eugenia leptoclada O.Berg",4
"456","Eugenia ligustrina (Sw.) Willd.",4
"457","Eugenia longipedunculata Nied.",1
"458","Eugenia luschnathiana (O.Berg) Klotzsch ex B.D.Jacks.",1
"459","Eugenia macrosperma DC.",2
"460","Eugenia magnifica Spring ex Mart.",1
"461","Eugenia monosperma Vell.",7
"462","Eugenia neoglomerata Sobral",6
"463","Eugenia neoverrucosa Sobral",1
"464","Eugenia nutans O.Berg",10
"465","Eugenia pisiformis Cambess.",15
"466","Eugenia platyphylla O.Berg",4
"467","Eugenia prasina O.Berg",18
"468","Eugenia punicifolia (Kunth) DC.",18
"469","Eugenia pyriformis Cambess.",1
"470","Eugenia repanda O.Berg",1
"471","Eugenia rostrata O.Berg",1
"472","Eugenia sonderiana O.Berg",9
"473","Eugenia speciosa Cambess.",5
"474","Eugenia subterminalis DC.",5
"475","Eugenia sulcata Spring ex Mart.",1
"476","Eugenia umbellata Spreng.",3
"477","Eugenia umbrosa O.Berg",4
"478","Eugenia uniflora L.",5
"479","Eugenia vattimoana Mattos",2
"480","Eugenia vernicosa O.Berg",4
"481","Eugenia widgrenii Sond. ex O.Berg",1
"482","Euplassa incana (Klotzsch) I.M.Johnst.",3
"483","Euplassa legalis (Vell.) I.M.Johnst.",13
"484","Euplassa organensis (Gardner) I.M.Johnst.",1
"485","Euterpe edulis Mart.",25
"486","Exostyles venusta Schott",1
"487","Faramea atlantica J.G.Jardim & Zappi",11
"488","Faramea coerulea (Nees & Mart.) DC.",1
"489","Faramea hyacinthina Mart.",13
"490","Faramea latifolia (Cham. & Schltdl.) DC.",2
"491","Faramea martiana Müll.Arg.",3
"492","Faramea stipulacea (Cham. & Schltdl.) DC.",1
"493","Ferdinandusa speciosa (Pohl) Pohl",6
"494","Ficus adhatodifolia Schott in Spreng.",25
"495","Ficus americana Aubl.",4
"496","Ficus bahiensis C.C.Berg & Carauta",2
"497","Ficus calyptroceras (Miq.) Miq.",1
"498","Ficus castellviana Dugand",7
"499","Ficus cestrifolia Schott ex Spreng.",6
"500","Ficus citrifolia Mill.",8
"501","Ficus enormis Mart. ex Miq.",18
"502","Ficus eximia Schott",17
"503","Ficus gomelleira Kunth",28
"504","Ficus hirsuta Schott",1
"505","Ficus luschnathiana (Miq.) Miq.",4
"506","Ficus mariae C.C.Berg, Emygdio & Carauta",5
"507","Ficus obtusifolia Kunth",2
"508","Ficus obtusiuscula (Miq.) Miq.",13
"509","Ficus pertusa L.f.",22
"510","Ficus pulchella Schott",7
"511","Ficus trigona L.f.",8
"512","Ficus trigonata L.",7
"513","Galipea jasminiflora (A.St.-Hil.) Engl.",23
"514","Galipea laxiflora Engl.",1
"515","Gallesia integrifolia (Spreng.) Harms",25
"516","Garcinia gardneriana (Planch. & Triana) Zappi",24
"517","Garcinia macrophylla Mart.",1
"518","Gaultheria eriophylla (Pers.) Sleumer ex Burtt",2
"519","Gaylussacia brasiliensis (Spreng.) Meisn.",3
"520","Gaylussacia montana (Pohl) Sleumer",3
"521","Gaylussacia pseudogaultheria Cham. & Schltdl.",1
"522","Gaylussacia salicifolia Sleumer",4
"523","Geissospermum laeve (Vell.) Miers",4
"524","Genipa americana L.",16
"525","Genipa infundibuliformis Zappi & Semir",9
"526","Geonoma brevispatha Barb.Rodr.",1
"527","Geonoma pohliana Mart.",7
"528","Geonoma schottiana Mart.",28
